rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Rockstar,Post Malone Featuring 21 Savage,8,8,0,2017-11-25,2017,47
2,Havana,Camila Cabello Featuring Young Thug,13,13,0,2017-11-25,2017,47
3,Bodak Yellow (Money Moves),Cardi B,1,19,1,2017-11-25,2017,47
4,Too Good At Goodbyes,Sam Smith,10,9,10,2017-11-25,2017,47
5,Thunder,Imagine Dragons,28,28,0,2017-11-25,2017,47
6,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,4,3,28,2017-11-25,2017,47
7,Feel It Still,Portugal. The Man,6,4,21,2017-11-25,2017,47
8,Perfect,Ed Sheeran,11,11,11,2017-11-25,2017,47
9,What Lovers Do,Maroon 5 Featuring SZA,12,11,12,2017-11-25,2017,47
10,Mi Gente,J Balvin & Willy William Featuring Beyonce,9,3,19,2017-11-25,2017,47
11,Sorry Not Sorry,Demi Lovato,8,6,18,2017-11-25,2017,47
12,Gucci Gang,Lil Pump,7,7,9,2017-11-25,2017,47
13,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,24,9,24,2017-11-25,2017,47
14,I Get The Bag,Gucci Mane Featuring Migos,15,11,12,2017-11-25,2017,47
15,Bank Account,21 Savage,16,12,18,2017-11-25,2017,47
16,Unforgettable,French Montana Featuring Swae Lee,17,3,31,2017-11-25,2017,47
17,What About Us,P!nk,22,13,14,2017-11-25,2017,47
18,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,20,1,43,2017-11-25,2017,47
19,Attention,Charlie Puth,18,5,29,2017-11-25,2017,47
20,Bad At Love,Halsey,27,10,27,2017-11-25,2017,47
21,New Rules,Dua Lipa,26,15,26,2017-11-25,2017,47
22,Rake It Up,Yo Gotti Featuring Nicki Minaj,13,8,19,2017-11-25,2017,47
23,MotorSport,"Migos, Nicki Minaj & Cardi B",14,14,2,2017-11-25,2017,47
24,Believer,Imagine Dragons,21,4,40,2017-11-25,2017,47
25,Young Dumb & Broke,Khalid,17,17,0,2017-11-25,2017,47
26,Shape Of You,Ed Sheeran,23,1,44,2017-11-25,2017,47
27,Call It What You Want,Taylor Swift,-,1,-,2017-11-25,2017,47
28,Praying,Kesha,31,22,18,2017-11-25,2017,47
29,I Fall Apart,Post Malone,28,7,28,2017-11-25,2017,47
30,...Ready For It?,Taylor Swift,19,4,10,2017-11-25,2017,47
31,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,55,11,55,2017-11-25,2017,47
32,Strip That Down,Liam Payne Featuring Quavo,28,10,25,2017-11-25,2017,47
33,There's Nothing Holdin' Me Back,Shawn Mendes,30,6,29,2017-11-25,2017,47
34,Slow Hands,Niall Horan,32,11,28,2017-11-25,2017,47
35,Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",57,2,57,2017-11-25,2017,47
36,That's What I Like,Bruno Mars,33,1,43,2017-11-25,2017,47
37,Look What You Made Me Do,Taylor Swift,34,1,12,2017-11-25,2017,47
38,When It Rains It Pours,Luke Combs,37,33,15,2017-11-25,2017,47
39,What Ifs,Kane Brown Featuring Lauren Alaina,36,26,22,2017-11-25,2017,47
40,Congratulations,Post Malone Featuring Quavo,8,46,8,2017-11-25,2017,47
41,Do Re Mi,blackbear,40,22,40,2017-11-25,2017,47
42,Something Just Like This,The Chainsmokers & Coldplay,39,3,38,2017-11-25,2017,47
43,The Weekend,SZA,44,15,44,2017-11-25,2017,47
44,How Long,Charlie Puth,46,5,46,2017-11-25,2017,47
45,XO TOUR Llif3,Lil Uzi Vert,43,7,33,2017-11-25,2017,47
46,Humble.,Kendrick Lamar,42,1,32,2017-11-25,2017,47
47,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",51,9,51,2017-11-25,2017,47
48,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,38,2,21,2017-11-25,2017,47
49,Body Like A Back Road,Sam Hunt,6,41,6,2017-11-25,2017,47
50,Ric Flair Drip,Offset & Metro Boomin,71,2,71,2017-11-25,2017,47
51,Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,45,45,20,2017-11-25,2017,47
52,Greatest Love Story,LANCO,53,51,10,2017-11-25,2017,47
53,Unforgettable,Thomas Rhett,52,47,15,2017-11-25,2017,47
54,Silence,Marshmello Featuring Khalid,50,42,13,2017-11-25,2017,47
55,Wolves,Selena Gomez X Marshmello,35,35,3,2017-11-25,2017,47
56,Roll In Peace,Kodak Black Featuring XXXTENTACION,53,12,53,2017-11-25,2017,47
57,Love So Soft,Kelly Clarkson,47,47,9,2017-11-25,2017,47
58,I'll Name The Dogs,Blake Shelton,65,9,65,2017-11-25,2017,47
59,Plain Jane,A$AP Ferg Featuring Nicki Minaj,54,54,7,2017-11-25,2017,47
60,Every Little Thing,Carly Pearce,58,50,15,2017-11-25,2017,47
61,Let You Down,NF,4,4,0,2017-11-25,2017,47
62,Meant To Be,Bebe Rexha & Florida Georgia Line,60,60,3,2017-11-25,2017,47
63,Light It Up,Luke Bryan,62,62,11,2017-11-25,2017,47
64,Rap Saved Me,"21 Savage, Offset & Metro Boomin Featuring Quavo",74,2,74,2017-11-25,2017,47
65,Lemon,N*E*R*D & Rihanna,-,1,-,2017-11-25,2017,47
66,The Race,Tay-K,59,44,14,2017-11-25,2017,47
67,Like I Loved You,Brett Young,63,63,7,2017-11-25,2017,47
68,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,64,64,7,2017-11-25,2017,47
69,Sky Walker,Miguel Featuring Travis Scott,66,66,7,2017-11-25,2017,47
70,Losing Sleep,Chris Young,68,63,7,2017-11-25,2017,47
71,Fix A Drink,Chris Janson,67,67,11,2017-11-25,2017,47
72,Good Old Days,Macklemore Featuring Kesha,70,3,70,2017-11-25,2017,47
73,My Choppa Hate N****s,21 Savage & Metro Boomin,94,2,94,2017-11-25,2017,47
74,Yours,Russell Dickerson,76,4,76,2017-11-25,2017,47
75,I Could Use A Love Song,Maren Morris,81,12,81,2017-11-25,2017,47
76,Round Here Buzz,Eric Church,82,7,82,2017-11-25,2017,47
77,Jocelyn Flores,XXXTENTACION,70,31,11,2017-11-25,2017,47
78,Questions,Chris Brown,79,11,79,2017-11-25,2017,47
79,Rubbin Off The Paint,YBN Nahmir,-,1,-,2017-11-25,2017,47
80,Dusk Till Dawn,Zayn Featuring Sia,78,44,9,2017-11-25,2017,47
81,Candy Paint,Post Malone,85,3,85,2017-11-25,2017,47
82,Pray,Sam Smith Featuring Logic,-,55,2,2017-11-25,2017,47
83,F**k Love,XXXTENTACION Featuring Trippie Redd,80,41,11,2017-11-25,2017,47
84,Lights Down Low,MAX Featuring gnash,5,5,0,2017-11-25,2017,47
85,Gorgeous,Taylor Swift,69,13,3,2017-11-25,2017,47
86,Transportin',Kodak Black,73,46,12,2017-11-25,2017,47
87,Relationship,Young Thug Featuring Future,88,65,12,2017-11-25,2017,47
88,Mayores,Becky G Featuring Bad Bunny,83,83,3,2017-11-25,2017,47
89,Sauce It Up,Lil Uzi Vert,75,49,11,2017-11-25,2017,47
90,Ask Me How I Know,Garth Brooks,3,3,0,2017-11-25,2017,47
91,Smooth,Florida Georgia Line,89,89,6,2017-11-25,2017,47
92,Broken Halos,Chris Stapleton,-,2,-,2017-11-25,2017,47
93,Wait,Maroon 5,-,1,-,2017-11-25,2017,47
94,Pull Up N Wreck,Big Sean & Metro Boomin Featuring 21 Savage,-,1,-,2017-11-25,2017,47
95,You Broke Up With Me,Walker Hayes,91,91,3,2017-11-25,2017,47
96,Go Flex,Post Malone,86,76,8,2017-11-25,2017,47
97,Patek Water,Future & Young Thug Featuring Offset,77,50,3,2017-11-25,2017,47
98,Glorious,Macklemore Featuring Skylar Grey,87,49,18,2017-11-25,2017,47
99,Mad Stalkers,"21 Savage, Offset & Metro Boomin",-,1,-,2017-11-25,2017,47
100,Nightmare,Offset & Metro Boomin,-,1,-,2017-11-25,2017,47
1,Rockstar,Post Malone Featuring 21 Savage,9,9,0,2017-12-02,2017,48
2,Havana,Camila Cabello Featuring Young Thug,14,14,0,2017-12-02,2017,48
3,Gucci Gang,Lil Pump,12,10,12,2017-12-02,2017,48
4,Thunder,Imagine Dragons,5,29,5,2017-12-02,2017,48
5,Bodak Yellow (Money Moves),Cardi B,3,1,20,2017-12-02,2017,48
